train_no,train_name,zone,source_station,destination_station,current_station,day_of_week,month,festival,weather,temperature,humidity,visibility_km,rainfall_mm,track_congestion,station_congestion,previous_station_delay,average_route_delay,distance_from_source,distance_remaining,train_priority,locomotive_type,maintenance_flag,delay_minutes
12301,Howrah Rajdhani,ER, NDLS ,PRYJ,CNB,Friday,5,None,Clear,33.0,89,1.5,0,Medium,Low,18,9,1657,1780,Rajdhani,WAP-5,No,19
12622,Tamil Nadu Express,SR,PRYJ,LKO,CNB,Sunday,6,None,Cloudy,11.4,32,5.5,0,Medium,High,9,10,1182,393,Vande Bharat,WAP-7,Yes,29
22436,Vande Bharat,NR,PRYJ,BCT,CNB,Wednesday,11,None,Cloudy,24.8,66,2.6,0,Medium,Low,1,0,1409,1140,Express,WDP-4D,Yes,0
22436,Vande Bharat,NR,NDLS,KOTA,AGC,Friday,7,None,Clear,42.9,60,3.3,0,Medium,Medium,22,0,741,449,Express,WAG-9,Yes,14
12951,Mumbai Rajdhani,WR,BCT,LKO,MAS,Wednesday,2,None,Clear,30.1,69,5.8,0,Medium,High,9,18,601,890,Express,WAG-9,Yes,29
12627,Karnataka Express,SWR,NGP,LKO,NGP,Sunday,5,Holi,Cloudy,,84,9.2,0,Low,Medium,11,0,490,118,Express,WAP-7,Yes,19
12138,Punjab Mail,CR,BCT,NGP,LKO,Friday,8,None,Clear,28.3,53,8.0,0,High,Medium,36,3,247,507,Express,WAP-7,No,47
12951,Mumbai Rajdhani,WR,HWH,NGP,CNB,Sunday,7,None,Rain,34.2,27,3.6,116,Low,Medium,17,10,389,193,Rajdhani,WAG-9,No,39
11057,Amritsar Express,CR,AGC,BPL,SBC,Sunday,9,None,Clear,31.9,27,6.2,0,Medium,Low,10,13,200,103,Vande Bharat,WAP-7,Yes,23
22436,Vande Bharat,NR,LKO,AGC,BPL,Tuesday,5,Holi,Clear,41.4,41,5.8,0,Medium,Medium,28,1,445,119,Freight,WAP-7,No,29
12951,Mumbai Rajdhani,WR,NDLS,HWH,BPL,Friday,10,Holi,Rain,13.8,85,1.4,24,Low,High,31,14,1070,647,Mail,WAP-5,No,72
22436,Vande Bharat,NR,PRYJ,AGC,LKO,Friday,12,None,Rain,19.7,29,0.3,80,High,Low,17,10,619,1252,Vande Bharat,WAP-7,No,40
12301,Howrah Rajdhani,ER,LKO,PRYJ,BCT,Wednesday,1,None,Cloudy,13.8,56,9.2,0,High,Medium,14,18,7,683,Express,WDP-4D,Yes,32
12138,Punjab Mail,CR,NGP,AGC,NGP,Saturday,4,None,Clear,40.7,39,8.3,0,Medium,High,0,5,1365,210,Mail,WAG-9,Yes,15
22436,Vande Bharat,NR,LKO,SBC,AGC,Wednesday,4,None,Clear,20.3,72,12.1,0,High,Low,7,21,456,48,Vande Bharat,WAP-5,No,28
12622,Tamil Nadu Express,SR,PRYJ,BCT,PRYJ,Thursday,10,None,Clear,33.1,88,5.1,0,Low,Low,16,3,1047,236,Passenger,WAP-5,No,19
12951,Mumbai Rajdhani,WR,SBC,AGC,NDLS,Tuesday,4,Diwali,Rain,33.4,45,5.6,9,High,Medium,0,0,861,1361,Passenger,WAP-5,No,16
11057,Amritsar Express,CR,NGP,NDLS,PRYJ,Wednesday,2,None,Clear,29.5,61,7.1,0,Medium,High,13,16,1676,1538,Express,WDP-4D,Yes,39
22436,Vande Bharat,NR,LKO,NDLS,NDLS,Monday,7,None,Clear,39.4,,6.9,0,High,High,16,19,448,360,Vande Bharat,WAG-9,Yes,45
22436,Vande Bharat,NR,BCT,BPL,LKO,Tuesday,11,None,Fog,44.6,96,4.9,0,Medium,High,20,0,567,1568,Freight,WAG-9,Yes,45
12627,Karnataka Express,SWR,BPL,BCT,SBC,Thursday,10,None,Clear,19.8,89,1.4,0,Low,Low,4,11,1424,40,Freight,WAG-9,No,15
12951,Mumbai Rajdhani,WR,KOTA,PRYJ,AGC,Tuesday,10,Chhath,cloudy,23.5,89,12.0,0,Low,Medium,12,16,1093,55,Passenger,WAP-7,Yes,28
11057,Amritsar Express,CR,LKO,BPL,LKO,Saturday,2,None,Clear,,61,5.2,0,Medium,Medium,10,0,1599,1334,Rajdhani,WAP-7,Yes,10
22436,Vande Bharat,NR,NDLS,HWH,LKO,Wednesday,10,None,Clear,12.2,47,7.1,0,Medium,Medium,18,17,1387,768,Passenger,WAP-5,Yes,27
22436,Vande Bharat,NR,BCT,PRYJ,MAS,Saturday,3,None,Rain,44.4,25,5.3,55,High,Medium,25,12,891,360,Vande Bharat,WDP-4D,No,42
12138,Punjab Mail,CR,AGC,HWH,PRYJ,Wednesday,10,None,Clear,42.6,55,13.2,0,Low,Medium,0,2,1436,565,Freight,WAP-7,Yes,2
12301,Howrah Rajdhani,ER,CNB,AGC,BPL,Wednesday,12,None,Rain,25.6,82,6.8,3,Low,Medium,13,20,929,554,Mail,WDP-4D,Yes,39
12301,Howrah Rajdhani,ER,SBC,CNB,KOTA,Wednesday,1,None,Clear,36.2,43,3.0,0,High,Medium,7,18,1450,1093,Express,WDP-4D,Yes,25
12951,Mumbai Rajdhani,WR,NGP,PRYJ,SBC,Monday,10,None,Cloudy,35.9,33,13.1,0,High,Medium,0,9,1289,1405,Rajdhani,WAP-5,Yes,9
12627,Karnataka Express,SWR,BCT,CNB,BCT,Tuesday,5,None,Rain,30.1,48,11.7,49,Medium,Medium,5,18,1352,166,Express,WAP-5,Yes,41
12301,Howrah Rajdhani,ER,LKO,NDLS,AGC,Monday,9,None,Clear,18.8,49,4.5,0,Medium,High,12,5,460,1326,Express,WDP-4D,Yes,19
12301,Howrah Rajdhani,ER,NDLS,LKO,PRYJ,Monday,4,Diwali,Rain,42.1,76,2.0,89,Medium,High,2,11,1380,1712,Freight,WAP-7,No,45
12951,Mumbai Rajdhani,WR,LKO,BPL,NGP,Sunday,9,Eid,Rain,14.7,94,6.7,105,Medium,Low,0,9,75,931,Rajdhani,WDP-4D,No,24
12622,Tamil Nadu Express,SR,BCT,AGC,NGP,Thursday,2,None,Fog,40.2,79,6.3,0,Low,High,0,18,59,1290,Freight,WAP-5,Yes,58
12627,Karnataka Express,SWR,NGP,NDLS,NGP,Friday,3,None,Clear,39.1,34,7.0,0,Low,High,16,0,785,390,Freight,WAP-5,Yes,26
12627,Karnataka Express,SWR,AGC,KOTA,NGP,Saturday,4,None,Clear,34.9,95,8.8,0,High,Medium,18,1,1171,784,Express,WAG-9,Yes,27
12622,Tamil Nadu Express,SR,SBC,BPL,SBC,Thursday,11,None,Cloudy,44.6,39,7.5,0,Low,Low,0,7,316,153,Passenger,WDP-4D,No,7
11057,Amritsar Express,CR,MAS,BCT,KOTA,Saturday,12,Holi,Cloudy,22.1,60,9.5,0,Medium,High,14,8,1787,205,Passenger,WAP-5,No,40
12951,Mumbai Rajdhani,WR,NDLS,KOTA,NDLS,Wednesday,8,None,Clear,13.4,87,6.3,0,High,Low,12,10,522,1365,Rajdhani,WAG-9,No,22
12001,Shatabdi,NR,BCT,BPL,KOTA,Sunday,11,None,Storm,43.6,52,7.0,0,Medium,Low,33,7,810,562,Rajdhani,WAP-7,No,40
12627,Karnataka Express,SWR,CNB,HWH,KOTA,Tuesday,3,None,Clear,17.3,37,9.5,0,High,High,30,11,1610,1104,Mail,WDP-4D,Yes,59
12627,Karnataka Express,SWR,BPL,PRYJ,SBC,Thursday,6,Diwali,Cloudy,25.3,29,2.3,0,Low,High,4,0,1377,1533,Vande Bharat,WDP-4D,No,22
12622,Tamil Nadu Express,SR,BCT,MAS,CNB,Thursday,2,None,Clear,42.9,61,13.7,0,Low,High,30,13,199,480,Freight,WAP-5,No,53
12138,Punjab Mail,CR,KOTA,MAS,SBC,Saturday,6,None,Rain,29.7,39,13.3,84,Low,Medium,0,0,1115,1320,Mail,WAP-7,No,13
12627,Karnataka Express,SWR,CNB,BCT,BPL,Sunday,3,None,Clear,31.7,22,0.9,0,Medium,Low,31,7,1615,1220,Rajdhani,WDP-4D,Yes,38
12001,Shatabdi,NR,NGP,PRYJ,LKO,Friday,10,Holi,Clear,12.9,65,11.9,0,Low,High,6,12,223,925,Freight,WAP-5,Yes,36
12627,Karnataka Express,SWR,BPL,MAS,NDLS,Friday,9,None,Clear,22.9,33,7.5,0,Medium,Low,18,3,603,929,Freight,WAG-9,Yes,21
12301,Howrah Rajdhani,ER,MAS,SBC,NGP,Monday,2,None,Fog,24.7,49,6.3,0,Medium,Medium,5,9,884,197,Vande Bharat,WDP-4D,Yes,29
12951,Mumbai Rajdhani,WR,HWH,NGP,NGP,Sunday,9,None,Clear,21.1,74,13.0,0,High,Low,25,5,752,235,Mail,WAP-5,No,30
12951,Mumbai Rajdhani,WR,HWH,MAS,SBC,Thursday,7,None,Clear,34.0,59,13.8,0,Medium,Low,12,12,929,698,Express,WDP-4D,No,16
12622,Tamil Nadu Express,SR,HWH,SBC,BCT,Saturday,10,None,Cloudy,35.9,26,10.2,0,Medium,Medium,2,0,996,1079,Vande Bharat,WDP-4D,Yes,2
22436,Vande Bharat,NR,AGC,HWH,NDLS,Wednesday,2,None,Clear,15.8,37,11.5,0,Medium,Medium,20,14,813,1764,Vande Bharat,WAP-7,No,26
12951,Mumbai Rajdhani,WR,BPL,BCT,KOTA,Friday,2,None,Rain,34.3,73,4.5,52,Low,Medium,23,25,810,1782,Mail,WDP-4D,Yes,59
12622,Tamil Nadu Express,SR,LKO,BCT,NGP,Thursday,10,None,Rain,15.2,64,5.4,105,High,Low,10,12,1556,1186,Passenger,WDP-4D,No,41
12001,Shatabdi,NR,BPL,BCT,BPL,Thursday,8,None,Clear,18.2,27,5.4,0,Low,Medium,6,8,1188,1135,Vande Bharat,WAP-7,No,14
22436,Vande Bharat,NR,KOTA,HWH,BPL,Sunday,6,Chhath,Rain,24.7,63,14.7,11,High,High,14,13,1390,1224,Rajdhani,WDP-4D,Yes,64
12622,Tamil Nadu Express,SR,BCT,NGP,MAS,Wednesday,9,None,Clear,39.5,97,13.1,0,Medium,Low,4,5,771,1317,Mail,WAP-5,Yes,9
11057,Amritsar Express,CR,NGP,KOTA,NDLS,Sunday,10,None,Clear,15.9,82,3.0,0,Low,Low,30,15,268,1223,Passenger,WAP-5,Yes,45
12001,Shatabdi,NR,SBC,HWH,LKO,Friday,8,None,Fog,21.5,50,14.5,0,High,Medium,10,0,945,1575,Mail,WAG-9,No,35
12001,Shatabdi,NR,CNB,HWH,LKO,Tuesday,8,None,Cloudy,25.8,67,8.4,0,Low,High,23,0,715,54,Passenger,WAP-7,No,33
12622,Tamil Nadu Express,SR,CNB,AGC,BCT,Tuesday,3,None,Clear,42.4,62,11.9,0 mm,Low,Low,4,22,1123,1489,Freight,WAG-9,Yes,-2
12627,Karnataka Express,SWR,CNB,PRYJ,BCT,Tuesday,11,None,Clear,37.4,,1.1,0,Medium,High,0,5,1368,175,Freight,WDP-4D,Yes,15
12951,Mumbai Rajdhani,WR,AGC,BPL,NDLS,Sunday,11,Chhath,Rain,17.4,22,5.5,9,Medium,Low,8,0,951,1424,Passenger,WAP-5,Yes,31
12301,Howrah Rajdhani,ER,SBC,BPL,NDLS,Saturday,6,None,Clear,15.4,25,4.9,0,Medium,High,0,16,559,254,Mail,WAG-9,No,18
12138,Punjab Mail,CR,AGC,KOTA,LKO,Thursday,10,None,Clear,42.2,86,4.1,0,Low,High,0,11,1469,872,Express,WAG-9,No,21
12138,Punjab Mail,CR,NDLS,KOTA,HWH,Monday,4,None,Storm,44.3,27,1.3,0,High,Medium,0,18,1594,1321,Mail,WDP-4D,No,26
12951,Mumbai Rajdhani,WR,HWH,LKO,MAS,Wednesday,5,None,Clear,24.4,29,8.7,0,High,Medium,0,14,1441,913,Express,WDP-4D,No,14
22436,Vande Bharat,NR,BCT,LKO,BCT,Sunday,6,Holi,Clear,24.5,31,12.2,0,Medium,High,7,10,1041,459,Rajdhani,WAP-5,Yes,27
22436,Vande Bharat,NR,BPL,NDLS,KOTA,Thursday,8,None,Rain,37.7,90,2.1,114,Low,Low,0,37,1392,1059,Mail,WAP-5,Yes,49
12001,Shatabdi,NR,AGC,NGP,NDLS,Friday,9,None,Fog,19.3,40,5.0,0,High,Low,0,23,191,1029,Vande Bharat,WAP-5,Yes,69
12001,Shatabdi,NR,MAS,HWH,SBC,Saturday,9,None,Cloudy,42.2,25,12.4,0,Low,Low,26,11,593,1314,Mail,WAG-9,Yes,37
11057,Amritsar Express,CR,PRYJ,BPL,BCT,Wednesday,8,None,Rain,23.4,79,3.2,78,Low,Medium,16,2,507,288,Rajdhani,WAP-7,No,34
11057,Amritsar Express,CR,HWH,AGC,CNB,Tuesday,10,Eid,Cloudy,,93,10.9,0,Low,Low,0,8,722,99,Rajdhani,WDP-4D,No,16
12138,Punjab Mail,CR,PRYJ,NGP,NDLS,Friday,11,None,Fog,40.7,66,11.5,0,Medium,Low,0,14,1251,243,Express,WAP-7,No,30
12622,Tamil Nadu Express,SR,KOTA,NGP,KOTA,Friday,12,None,Fog,26.8,84,0.8,0,Low,Low,5,0,1725,612,Freight,WDP-4D,No,31
12627,Karnataka Express,SWR,BPL,NDLS,KOTA,Thursday,3,None,Clear,23.4,59,12.0,0,High,High,0,0,1073,1288,Vande Bharat,WAG-9,Yes,18
22436,Vande Bharat,NR,NDLS,HWH,SBC,Saturday,8,None,Clear,19.6,39,6.3,0,Low,Medium,0,7,1076,771,Mail,WAP-5,No,0
12622,Tamil Nadu Express,SR,NGP,KOTA,MAS,Wednesday,9,None,Fog,31.8,53,9.2,0,Low,Low,8,14,1628,1477,Mail,WDP-4D,Yes,62
11057,Amritsar Express,CR,AGC,KOTA,LKO,Tuesday,4,None,Clear,34.4,64,13.9,0,High,Medium,9,2,103,1371,Freight,WAP-5,Yes,19
12951,Mumbai Rajdhani,WR,BCT,AGC,KOTA,Monday,11,None,Fog,36.5,20,14.5,0,Low,Medium,0,0,1175,475,Freight,WAP-7,Yes,17
11057,Amritsar Express,CR,LKO,NDLS,AGC,Thursday,5,None,Fog,35.7,57,13.2,0,Low,Medium,4,6,394,1656,Rajdhani,WDP-4D,Yes,30
12138,Punjab Mail,CR,MAS,PRYJ,SBC,Thursday,6,None,Clear,37.3,92,10.2,0,Low,Low,0,0,508,13,Mail,WAG-9,Yes,0
12138,Punjab Mail,CR,PRYJ,KOTA,PRYJ,Wednesday,10,None,Rain,17.7,66,10.5,8,High,Low,3,9,452,448,Express,WAG-9,Yes,41
12138,Punjab Mail,CR,SBC,HWH,KOTA,Sunday,9,None,Clear,25.4,88,12.1,0,Low,Low,3,0,1035,414,Freight,WAP-5,Yes,3
12622,Tamil Nadu Express,SR,NGP,BPL,BCT,Tuesday,10,None,Rain,26.1,85,6.8,8 mm,Medium,Low,0,7,149,92,Passenger,WDP-4D,Yes,13
12951,Mumbai Rajdhani,WR,BCT,BPL,NDLS,Tuesday,9,None,Clear,13.0,73,5.7,0,Medium,Medium,27,0,804,1083,Express,WAP-5,Yes,19
12951,Mumbai Rajdhani,WR,PRYJ,BPL,MAS,Tuesday,4,None,Fog,22.0,49,3.9,0,Medium,Low,5,26,137,206,Freight,WAP-7,No,56
12951,Mumbai Rajdhani,WR,CNB,NDLS,AGC,Saturday,9,None,Clear,35.9,27,2.3,0,Medium,Low,17,0,452,846,Mail,WDP-4D,Yes,9
12001,Shatabdi,NR,MAS,SBC,AGC,Monday,9,None,Rain,20.7,68,11.8,41,High,Medium,1,11,845,853,Freight,WAP-5,No,30
22436,Vande Bharat,NR,PRYJ,CNB,KOTA,Tuesday,6,Eid,Rain,39.3,31,8.1,107,Low,Low,7,19,620,31,Express,WAP-5,Yes,50
12138,Punjab Mail,CR,CNB,HWH,SBC,Tuesday,6,Eid,Clear,28.4,56,5.8,0,High,High,4,12,640,847,Rajdhani,WAP-5,Yes,42
12951,Mumbai Rajdhani,WR,PRYJ,NGP,HWH,Sunday,6,None,Rain,13.6,62,3.6,73,Low,Medium,0,2,346,286,Vande Bharat,WAG-9,Yes,9
12951,Mumbai Rajdhani,WR,NGP,NDLS,BCT,Saturday,8,None,Cloudy,36.3,72,2.2,0,High,Low,16,9,32,13,Freight,WAG-9,Yes,25
